product_id,Order ID,Product Name,Quantity
1,CA-2013-138688,Self-Adhesive Address Labels for Typewriters by Universal,2
2,CA-2011-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7
3,CA-2011-115812,Newell 322,4
4,CA-2011-115812,Mitel 5320 IP Phone VoIP phone,4
5,CA-2011-115812,DXL Angle-View Binders with Locking Rings by Samsill,3
6,CA-2011-115812,Belkin F5C206VTEL 6 Outlet Surge,5
7,CA-2011-115812,Chromcraft Rectangular Conference Tables,9
8,CA-2011-115812,Konftel 250 Conference phone - Charcoal black,4
9,CA-2013-161389,Fellowes PB200 Plastic Comb Binding Machine,3
10,CA-2011-167164,Fellowes Super Stor/Drawer,2
11,CA-2011-143336,Newell 341,2
12,CA-2011-143336,Cisco SPA 501G IP Phone,3
13,CA-2011-143336,"Wilson Jones Hanging View Binder, White, 1""",4
14,CA-2012-106320,Bretford CR4500 Series Slim Rectangular Table,3
15,CA-2013-121755,Wilson Jones Active Use Binders,2
16,CA-2013-121755,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3
17,CA-2013-101343,"Eldon Base for stackable storage shelf, platinum",2
18,CA-2012-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2
19,CA-2012-135545,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6
20,CA-2012-135545,Xerox 1943,3
21,CA-2012-135545,Luxo Economy Swing Arm Lamp,4
22,CA-2011-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8
23,CA-2011-106376,netTALK DUO VoIP Telephone Service,4
24,CA-2011-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5
25,CA-2011-139451,"Sortfiler Multipurpose Personal File Organizer, Black",1
26,CA-2013-109806,Turquoise Lead Holder with Pocket Clip,3
27,CA-2013-109806,Panasonic Kx-TS550,2
28,CA-2013-109806,Xerox 1995,1
29,US-2014-109484,Flexible Leather- Look Classic Collection Ring Binder,1
30,CA-2014-157833,Trimflex Flexible Post Binders,3
31,US-2012-156867,Logitech K350 2.4Ghz Wireless Keyboard,6
32,US-2012-156867,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3
33,US-2012-156867,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",3
34,CA-2012-110457,Hon Racetrack Conference Tables,3
35,US-2014-107272,"Avery Durable Slant Ring Binders, No Labels",2
36,US-2014-107272,"Trav-L-File Heavy-Duty Shuttle II, Black",7
37,US-2013-125969,"Global Task Chair, Black",2
38,US-2013-125969,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3
39,CA-2013-145583,Xerox 195,3
40,CA-2013-145583,Xerox 1880,1
41,CA-2013-145583,"Sanford Colorific Colored Pencils, 12/Box",4
42,CA-2013-145583,Ideal Clamps,2
43,CA-2013-145583,GBC Wire Binding Strips,3
44,CA-2013-145583,Fiskars Softgrip Scissors,6
45,CA-2013-145583,Longer-Life Soft White Bulbs,14
46,CA-2014-106180,Newell 343,3
47,CA-2014-106180,Convenience Packs of Business Envelopes,3
48,CA-2014-106180,Xerox 1911,3
49,CA-2012-110744,Safco Industrial Wire Shelving,7
50,CA-2013-158834,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5
51,CA-2013-158834,Jabra BIZ 2300 Duo QD Duo Corded Headset,2
52,CA-2012-124919,Southworth 25% Cotton Antique Laid Paper & Envelopes,7
53,CA-2012-124919,Xerox 1883,4
54,CA-2012-124919,"Tenex Personal Project File with Scoop Front Design, Black",6
55,CA-2012-118948,Newell 311,3
56,CA-2011-104269,Global Deluxe High-Back Manager's Chair,2
57,CA-2013-162733,Xerox 1920,1
58,CA-2013-154508,Staples,5
59,CA-2013-113817,Wilson Jones International Size A4 Ring Binders,2
60,CA-2011-118962,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",3
61,CA-2011-118962,Xerox 1913,2
62,CA-2011-118962,"Global Value Steno Chair, Gray",7
63,CA-2011-123260,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,8
64,CA-2012-131457,Poly String Tie Envelopes,7
65,CA-2011-133690,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2
66,CA-2011-133690,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1
67,CA-2014-108329,Nortel Business Series Terminal T7208 Digital phone,4
68,CA-2013-130162,"Personal Filing Tote with Lid, Black/Gray",6
69,CA-2013-130162,Adtran 1202752G1,3
70,CA-2014-160514,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),2
71,CA-2013-154739,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",2
72,CA-2013-145625,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",1
73,CA-2013-145625,Logitech P710e Mobile Speakerphone,13
74,CA-2012-155040,Microsoft Sculpt Comfort Mouse,2
75,CA-2014-163979,Adjustable Depth Letter/Legal Cart,4
76,CA-2012-155334,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,7
77,CA-2012-155334,Regeneration Desk Collection,3
78,CA-2012-155334,Presstex Flexible Ring Binders,3
79,CA-2014-118136,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",2
80,CA-2014-118136,Newell 330,1
81,CA-2012-130890,Bevis Round Bullnose 29" High Table Top,5
82,CA-2012-130883,Staples,5
83,CA-2012-130883,Microsoft Arc Touch Mouse,5
84,CA-2012-130883,Xerox 216,6
85,CA-2011-111451,Howard Miller 13" Diameter Goldtone Round Wall Clock,8
86,CA-2011-111451,Global Deluxe Office Fabric Chairs,3
87,CA-2011-111451,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,3
88,CA-2011-111451,Ibico Laser Imprintable Binding System Covers,5
89,CA-2011-111451,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",3
90,CA-2013-142902,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,4
91,CA-2013-142902,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2
92,CA-2013-142902,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",1
93,CA-2013-142902,Avery 509,3
94,CA-2011-156601,OIC Binder Clips,2
95,CA-2013-162138,Ibico Laser Imprintable Binding System Covers,6
96,CA-2013-162138,Logitech Wireless Headset h800,1
97,CA-2012-137946,Storex Dura Pro Binders,1
98,CA-2012-137946,Hewlett Packard LaserJet 3310 Copier,2
99,CA-2012-137946,Avery Non-Stick Binders,4
100,CA-2011-129924,Tuff Stuff Recycled Round Ring Binders,2
101,CA-2011-129924,Hon 5100 Series Wood Tables,3
102,CA-2012-128167,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4
103,CA-2014-169901,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,3
104,CA-2011-123344,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
105,US-2011-119137,Wilson Jones Custom Binder Spines & Labels,5
106,US-2011-119137,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,8
107,US-2011-119137,Newell 324,1
108,US-2011-119137,Microsoft Natural Keyboard Elite,10
109,CA-2013-134775,Southworth Structures Collection,7
110,CA-2013-134775,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",3
111,US-2011-135972,Nortel Meridian M3904 Professional Digital phone,2
112,US-2011-135972,Canon PC1080F Personal Copier,3
113,CA-2014-102946,Tuf-Vin Binders,3
114,CA-2014-117457,Sony 64GB Class 10 Micro SDHC R40 Memory Card,5
115,CA-2014-117457,Sharp AL-1530CS Digital Copier,3
116,CA-2014-117457,"Wirebound Message Book, 4 per Page",5
117,CA-2014-117457,"Bevis Round Conference Table Top, X-Base",7
118,CA-2014-117457,"Wirebound Service Call Books, 5 1/2"" x 4""",1
119,CA-2014-117457,Self-Adhesive Removable Labels,9
120,CA-2014-117457,Xerox 1908,1
121,CA-2014-117457,O'Sullivan 4-Shelf Bookcase in Odessa Pine,13
122,CA-2014-117457,Novimex High-Tech Fabric Mesh Task Chair,2
123,CA-2014-142636,Xerox 191,7
124,CA-2014-142636,Global Deluxe Office Fabric Chairs,4
125,CA-2014-122105,Bulldog Vacuum Base Pencil Sharpener,8
126,CA-2013-148796,Bevis Steel Folding Chairs,5
127,CA-2014-110478,American Pencil,4
128,CA-2014-110478,"White Envelopes, White Envelopes with Clear Poly Window",1
129,CA-2011-142048,KeyTronic 6101 Series - Keyboard - Black,6
130,US-2011-110674,"Global Geo Office Task Chair, Gray",2
131,CA-2012-109638,3M Office Air Cleaner,4
132,CA-2012-109638,Logitech G700s Rechargeable Gaming Mouse,9
133,CA-2012-109638,Acco D-Ring Binder w/DublLock,3
134,CA-2013-109869,Eldon Wave Desk Accessories,5
135,CA-2013-109869,Bush Advantage Collection Racetrack Conference Table,6
136,CA-2013-109869,Poly Designer Cover & Back,5
137,CA-2013-109869,Premier Electric Letter Opener,2
138,CA-2013-109869,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",2
139,CA-2011-144666,SAFCO Boltless Steel Shelving,3
140,CA-2011-144666,"Sauder Mission Library with Doors, Fruitwood Finish",2
141,CA-2011-144666,Samsung Galaxy Note 3,4
142,CA-2011-144666,"Decoflex Hanging Personal Folder File, Blue",6
143,CA-2011-144666,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",7
144,CA-2011-144666,Xerox 1912,5
145,CA-2013-103891,Cisco SPA525G2 IP Phone - Wireless,6
146,CA-2011-134677,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,3
147,CA-2014-140963,Alphabetical Labels for Top Tab Filing,2
148,CA-2014-140963,O'Sullivan Living Dimensions 2-Shelf Bookcases,5
149,CA-2014-140963,iHome FM Clock Radio with Lightning Dock,5
150,CA-2013-169166,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,2
151,CA-2013-126158,Clear Mylar Reinforcing Strips,8
152,CA-2013-126158,Howard Miller 14-1/2" Diameter Chrome Round Wall Clock,4
153,CA-2013-126158,DMI Arturo Collection Mission-style Design Wood Chair,2
154,CA-2013-126158,Deflect-O Glasstique Clear Desk Accessories,9
155,US-2013-105578,Vinyl Sectional Post Binders,2
156,US-2013-105578,GBC Standard Therm-A-Bind Covers,2
157,US-2013-105578,Global Troy Executive Leather Low-Back Tilter,2
158,US-2013-105578,Storex Flexible Poly Binders with Double Pockets,3
